,s,Senario ID,Senario type,RT1,R,sex,age,theta,beta,alpha
67,4,1,GENDER,2.252,1,0,0,1,1,1
68,5,14,AGE+GENDER,4.353,0,0,0,0,0,0
69,5,12,AGE+GENDER,0.807,1,0,0,0,0,0
70,5,1,GENDER,2.973,1,0,0,0,0,0
71,5,13,AGE+GENDER,4.125,0,0,0,0,0,0
72,5,2,AGE+GENDER,3.782,1,0,0,0,0,0
73,5,7,AGE+GENDER,3.263,0,0,0,0,0,0
74,5,14,AGE+GENDER,4.503,0,0,0,0,0,0
75,5,7,AGE+GENDER,1.996,0,0,0,0,0,0
76,5,15,GENDER,3.448,0,0,0,0,0,0
77,5,12,AGE+GENDER,3.072,1,0,0,0,0,0
78,5,9,AGE+GENDER,2.547,0,0,0,0,0,0
79,5,13,AGE+GENDER,2.39,0,0,0,0,0,0
80,5,1,GENDER,4.069,0,0,0,0,0,0
81,6,4,AGE+GENDER,1.507,0,0,1,0,0,0
82,6,9,AGE+GENDER,1.597,1,0,1,0,0,0
83,6,14,AGE+GENDER,3.82,0,0,1,0,0,0
84,6,12,AGE+GENDER,2.256,0,0,1,0,0,0
85,6,2,AGE+GENDER,1.983,0,0,1,0,0,0
86,6,13,AGE+GENDER,3.157,1,0,1,0,0,0
87,6,15,GENDER,1.732,1,0,1,0,0,0
88,6,1,GENDER,1.356,1,0,1,0,0,0
89,6,12,AGE+GENDER,0.522,0,0,1,0,0,0
90,6,10,GENDER,3.555,1,0,1,0,0,0
91,6,1,GENDER,1.838,1,0,1,0,0,0
92,6,2,AGE+GENDER,2.331,0,0,1,0,0,0
93,6,15,GENDER,2.598,1,0,1,0,0,0
94,7,14,AGE+GENDER,4.601,0,1,0,0,0,0
95,7,10,GENDER,5.39,1,1,0,0,0,0
96,7,15,GENDER,4.163,1,1,0,0,0,0
97,7,13,AGE+GENDER,5.558,0,1,0,0,0,0
98,7,1,GENDER,3.874,1,1,0,0,0,0
99,7,12,AGE+GENDER,2.506,1,1,0,0,0,0
100,7,2,AGE+GENDER,3.015,1,1,0,0,0,0
101,7,9,AGE+GENDER,1.863,1,1,0,0,0,0
102,7,7,AGE+GENDER,2.313,0,1,0,0,0,0
103,7,4,AGE+GENDER,2.49,1,1,0,0,0,0
104,7,15,GENDER,2.896,1,1,0,0,0,0
105,7,12,AGE+GENDER,1.04,1,1,0,0,0,0
106,7,1,GENDER,2.533,1,1,0,0,0,0
107,7,14,AGE+GENDER,3.318,0,1,0,0,0,0
108,7,9,AGE+GENDER,1.13,1,1,0,0,0,0
109,7,7,AGE+GENDER,1.846,0,1,0,0,0,0
110,7,13,AGE+GENDER,1.775,0,1,0,0,0,0
111,7,2,AGE+GENDER,0.944,1,1,0,0,0,0
112,7,10,GENDER,3.04,1,1,0,0,0,0
113,7,4,AGE+GENDER,3.52,0,1,0,0,0,0
114,8,7,AGE+GENDER,0.362,1,0,1,0,0,1
115,8,2,AGE+GENDER,3.825,0,0,1,0,0,1
116,8,9,AGE+GENDER,2.498,1,0,1,0,0,1
117,8,4,AGE+GENDER,0.956,0,0,1,0,0,1
118,8,13,AGE+GENDER,1.958,0,0,1,0,0,1
119,8,14,AGE+GENDER,3.087,0,0,1,0,0,1
120,8,1,GENDER,4.023,1,0,1,0,0,1
121,8,9,AGE+GENDER,1.546,1,0,1,0,0,1
122,8,1,GENDER,3.456,1,0,1,0,0,1
123,8,2,AGE+GENDER,0.931,0,0,1,0,0,1
124,8,13,AGE+GENDER,2.408,0,0,1,0,0,1
125,8,10,GENDER,6.039,1,0,1,0,0,1
126,8,7,AGE+GENDER,0.23,1,0,1,0,0,1
127,8,4,AGE+GENDER,0.872,0,0,1,0,0,1
128,8,14,AGE+GENDER,2.687,0,0,1,0,0,1
129,9,14,AGE+GENDER,4.454,0,1,0,0,0,0
130,9,1,GENDER,2.382,1,1,0,0,0,0
131,9,10,GENDER,3.573,1,1,0,0,0,0
132,9,13,AGE+GENDER,4.158,0,1,0,0,0,0
133,9,9,AGE+GENDER,3.715,1,1,0,0,0,0
134,9,2,AGE+GENDER,4.299,1,1,0,0,0,0
135,9,15,GENDER,3.882,1,1,0,0,0,0
136,9,4,AGE+GENDER,2.74,0,1,0,0,0,0
137,9,12,AGE+GENDER,1.49,1,1,0,0,0,0
138,9,1,GENDER,3.504,1,1,0,0,0,0
139,9,9,AGE+GENDER,2.715,1,1,0,0,0,0
140,9,14,AGE+GENDER,5.17,0,1,0,0,0,0
141,9,4,AGE+GENDER,1.452,0,1,0,0,0,0
142,9,12,AGE+GENDER,4.039,1,1,0,0,0,0
143,9,7,AGE+GENDER,3.762,0,1,0,0,0,0
144,9,13,AGE+GENDER,2.54,0,1,0,0,0,0
145,9,15,GENDER,3.282,1,1,0,0,0,0
146,9,10,GENDER,5.257,1,1,0,0,0,0
147,10,1,GENDER,4.323,1,0,1,1,1,1
148,10,14,AGE+GENDER,5.82,0,0,1,1,1,1
149,10,7,AGE+GENDER,4.781,1,0,1,1,1,1
150,10,13,AGE+GENDER,3.392,1,0,1,1,1,1
151,10,14,AGE+GENDER,2.369,0,0,1,1,1,1
152,10,12,AGE+GENDER,4.343,1,0,1,1,1,1
153,10,10,GENDER,5.057,1,0,1,1,1,1
154,11,9,AGE+GENDER,2.931,1,1,0,0,0,1
155,11,13,AGE+GENDER,3.442,0,1,0,0,0,1
156,11,1,GENDER,1.722,1,1,0,0,0,1
157,11,4,AGE+GENDER,2.623,0,1,0,0,0,1
158,11,10,GENDER,3.173,1,1,0,0,0,1
159,11,12,AGE+GENDER,0.973,1,1,0,0,0,1
160,11,14,AGE+GENDER,4.52,0,1,0,0,0,1
161,11,2,AGE+GENDER,3.096,1,1,0,0,0,1
162,11,7,AGE+GENDER,2.097,0,1,0,0,0,1
163,11,15,GENDER,2.932,1,1,0,0,0,1
164,11,2,AGE+GENDER,2.91,1,1,0,0,0,1
165,11,10,GENDER,2.823,1,1,0,0,0,1
166,11,7,AGE+GENDER,2.463,0,1,0,0,0,1
167,11,4,AGE+GENDER,3.035,0,1,0,0,0,1
168,11,13,AGE+GENDER,1.44,0,1,0,0,0,1
169,11,9,AGE+GENDER,2.464,1,1,0,0,0,1
170,11,14,AGE+GENDER,3.203,0,1,0,0,0,1
171,11,15,GENDER,2.846,1,1,0,0,0,1
172,11,12,AGE+GENDER,0.806,1,1,0,0,0,1
173,11,1,GENDER,2.385,1,1,0,0,0,1
174,12,13,AGE+GENDER,5.691,1,1,0,1,1,1
175,12,7,AGE+GENDER,2.246,1,1,0,1,1,1
176,12,15,GENDER,3.415,1,1,0,1,1,1
177,12,2,AGE+GENDER,2.614,0,1,0,1,1,1
178,12,14,AGE+GENDER,2.836,0,1,0,1,1,1
179,12,1,GENDER,2.323,1,1,0,1,1,1
180,12,12,AGE+GENDER,0.49,0,1,0,1,1,1
181,12,9,AGE+GENDER,2.714,1,1,0,1,1,1
182,12,10,GENDER,5.74,1,1,0,1,1,1
183,12,2,AGE+GENDER,2.829,0,1,0,1,1,1
184,12,14,AGE+GENDER,4.969,0,1,0,1,1,1
185,12,10,GENDER,5.023,1,1,0,1,1,1
186,12,1,GENDER,1.853,1,1,0,1,1,1
187,12,15,GENDER,3.115,1,1,0,1,1,1
188,12,12,AGE+GENDER,2.757,0,1,0,1,1,1
189,12,7,AGE+GENDER,1.979,1,1,0,1,1,1
190,12,13,AGE+GENDER,2.358,1,1,0,1,1,1
191,12,4,AGE+GENDER,3.253,1,1,0,1,1,1
192,12,9,AGE+GENDER,1.08,1,1,0,1,1,1
193,13,9,AGE+GENDER,3.665,0,1,1,0,0,1
194,13,12,AGE+GENDER,3.523,0,1,1,0,0,1
195,13,1,GENDER,3.373,0,1,1,0,0,1
196,13,7,AGE+GENDER,4.146,0,1,1,0,0,1
197,13,10,GENDER,7.239,1,1,1,0,0,1
198,13,7,AGE+GENDER,1.262,0,1,1,0,0,1
199,13,13,AGE+GENDER,4.991,0,1,1,0,0,1
200,13,1,GENDER,3.386,0,1,1,0,0,1
201,13,2,AGE+GENDER,5.547,0,1,1,0,0,1
202,13,4,AGE+GENDER,3.124,1,1,1,0,0,1
203,13,9,AGE+GENDER,4.132,0,1,1,0,0,1
204,14,12,AGE+GENDER,3.107,1,1,0,0,0,0
205,14,14,AGE+GENDER,3.97,0,1,0,0,0,0
206,14,13,AGE+GENDER,6.291,1,1,0,0,0,0
207,14,2,AGE+GENDER,2.881,1,1,0,0,0,0
208,14,1,GENDER,1.725,1,1,0,0,0,0
209,14,13,AGE+GENDER,3.856,0,1,0,0,0,0
210,14,7,AGE+GENDER,4.695,1,1,0,0,0,0
211,14,4,AGE+GENDER,0.985,1,1,0,0,0,0
212,14,2,AGE+GENDER,4.598,1,1,0,0,0,0
213,14,12,AGE+GENDER,1.489,1,1,0,0,0,0
214,14,9,AGE+GENDER,2.629,0,1,0,0,0,0
215,14,15,GENDER,2.699,1,1,0,0,0,0
216,14,10,GENDER,5.207,1,1,0,0,0,0
217,15,9,AGE+GENDER,2.797,1,1,0,1,1,0
218,15,13,AGE+GENDER,4.741,1,1,0,1,1,0
219,15,12,AGE+GENDER,3.306,0,1,0,1,1,0
220,15,4,AGE+GENDER,2.573,1,1,0,1,1,0
221,15,7,AGE+GENDER,3.63,1,1,0,1,1,0
222,15,2,AGE+GENDER,3.264,0,1,0,1,1,0
223,15,14,AGE+GENDER,4.769,0,1,0,1,1,0
224,15,15,GENDER,3.064,1,1,0,1,1,0
225,15,1,GENDER,4.105,1,1,0,1,1,0
226,15,9,AGE+GENDER,2.365,1,1,0,1,1,0
227,15,13,AGE+GENDER,4.923,0,1,0,1,1,0
228,15,2,AGE+GENDER,2.943,0,1,0,1,1,0
229,15,10,GENDER,4.038,1,1,0,1,1,0
230,15,4,AGE+GENDER,2.734,0,1,0,1,1,0
231,15,7,AGE+GENDER,2.912,1,1,0,1,1,0
232,15,12,AGE+GENDER,3.622,1,1,0,1,1,0
233,15,15,GENDER,3.631,1,1,0,1,1,0
234,16,10,GENDER,7.022,1,1,0,1,1,0
235,16,2,AGE+GENDER,5.047,1,1,0,1,1,0
236,16,12,AGE+GENDER,2.438,1,1,0,1,1,0
237,16,13,AGE+GENDER,6.323,1,1,0,1,1,0
238,16,9,AGE+GENDER,4.264,1,1,0,1,1,0
239,16,4,AGE+GENDER,2.572,0,1,0,1,1,0
240,16,1,GENDER,4.072,0,1,0,1,1,0
241,16,15,GENDER,2.065,1,1,0,1,1,0
242,16,7,AGE+GENDER,4.045,1,1,0,1,1,0
243,16,14,AGE+GENDER,5.101,0,1,0,1,1,0
244,16,2,AGE+GENDER,4.76,0,1,0,1,1,0
245,16,12,AGE+GENDER,0.355,1,1,0,1,1,0
246,16,15,GENDER,5.431,1,1,0,1,1,0
247,16,1,GENDER,2.089,1,1,0,1,1,0
248,16,7,AGE+GENDER,4.162,1,1,0,1,1,0
249,16,13,AGE+GENDER,4.691,0,1,0,1,1,0
250,16,9,AGE+GENDER,1.93,1,1,0,1,1,0
251,16,4,AGE+GENDER,2.935,0,1,0,1,1,0
252,16,10,GENDER,3.838,1,1,0,1,1,0
253,16,14,AGE+GENDER,5.535,0,1,0,1,1,0
254,17,2,AGE+GENDER,2.815,1,0,1,0,0,0
255,17,15,GENDER,3.298,1,0,1,0,0,0
256,17,1,GENDER,1.89,1,0,1,0,0,0
257,17,10,GENDER,2.523,1,0,1,0,0,0
258,17,7,AGE+GENDER,0.796,0,0,1,0,0,0
259,17,14,AGE+GENDER,2.253,0,0,1,0,0,0
260,17,13,AGE+GENDER,2.72,0,0,1,0,0,0
261,17,12,AGE+GENDER,1.624,1,0,1,0,0,0
262,17,4,AGE+GENDER,1.205,0,0,1,0,0,0
263,17,7,AGE+GENDER,1.729,0,0,1,0,0,0
264,17,12,AGE+GENDER,1.59,1,0,1,0,0,0
265,17,2,AGE+GENDER,1.098,1,0,1,0,0,0
266,17,1,GENDER,1.124,1,0,1,0,0,0
267,17,9,AGE+GENDER,1.032,1,0,1,0,0,0
268,17,10,GENDER,2.857,1,0,1,0,0,0
269,17,13,AGE+GENDER,1.491,0,0,1,0,0,0
270,17,14,AGE+GENDER,2.353,0,0,1,0,0,0
271,18,1,GENDER,4.723,1,0,0,1,1,0
272,18,10,GENDER,7.391,1,0,0,1,1,0
273,18,15,GENDER,5.382,0,0,0,1,1,0
274,18,7,AGE+GENDER,4.847,0,0,0,1,1,0
275,18,14,AGE+GENDER,5.737,0,0,0,1,1,0
276,18,13,AGE+GENDER,6.658,0,0,0,1,1,0
277,18,9,AGE+GENDER,4.398,1,0,0,1,1,0
278,18,4,AGE+GENDER,3.584,1,0,0,1,1,0
279,18,2,AGE+GENDER,5.065,0,0,0,1,1,0
280,18,12,AGE+GENDER,4.306,0,0,0,1,1,0
281,18,13,AGE+GENDER,5.006,0,0,0,1,1,0
282,18,15,GENDER,5.735,1,0,0,1,1,0
283,18,14,AGE+GENDER,5.97,0,0,0,1,1,0
284,18,2,AGE+GENDER,5.579,1,0,0,1,1,0
285,18,12,AGE+GENDER,4.007,1,0,0,1,1,0
286,18,10,GENDER,7.539,1,0,0,1,1,0
287,18,1,GENDER,4.759,1,0,0,1,1,0
288,18,7,AGE+GENDER,3.18,1,0,0,1,1,0
289,19,14,AGE+GENDER,4.683,0,0,1,1,1,0
290,19,2,AGE+GENDER,3.664,0,0,1,1,1,0
291,19,4,AGE+GENDER,2.39,1,0,1,1,1,0
292,19,12,AGE+GENDER,2.441,1,0,1,1,1,0
293,19,13,AGE+GENDER,4.675,1,0,1,1,1,0
294,19,1,GENDER,1.574,0,0,1,1,1,0
295,19,9,AGE+GENDER,2.282,0,0,1,1,1,0
296,19,15,GENDER,1.547,0,0,1,1,1,0
297,19,10,GENDER,3.507,1,0,1,1,1,0
298,19,7,AGE+GENDER,1.646,0,0,1,1,1,0
299,19,4,AGE+GENDER,0.823,0,0,1,1,1,0
300,19,9,AGE+GENDER,0.948,0,0,1,1,1,0
301,19,14,AGE+GENDER,3.104,0,0,1,1,1,0
302,19,2,AGE+GENDER,2.577,0,0,1,1,1,0
303,19,12,AGE+GENDER,0.555,1,0,1,1,1,0
304,19,13,AGE+GENDER,1.575,1,0,1,1,1,0
305,19,7,AGE+GENDER,1.229,0,0,1,1,1,0
306,19,10,GENDER,2.756,0,0,1,1,1,0
307,19,15,GENDER,1.731,0,0,1,1,1,0
308,19,1,GENDER,1.319,0,0,1,1,1,0
309,20,14,AGE+GENDER,5.735,0,0,1,1,1,0
310,20,10,GENDER,7.255,0,0,1,1,1,0
311,20,12,AGE+GENDER,3.406,1,0,1,1,1,0
312,20,4,AGE+GENDER,3.257,1,0,1,1,1,0
313,20,15,GENDER,4.33,0,0,1,1,1,0
314,20,1,GENDER,4.358,0,0,1,1,1,0
315,20,7,AGE+GENDER,4.447,0,0,1,1,1,0
316,20,13,AGE+GENDER,6.358,0,0,1,1,1,0
317,20,2,AGE+GENDER,4.581,1,0,1,1,1,0
318,20,9,AGE+GENDER,4.115,0,0,1,1,1,0
319,20,1,GENDER,4.022,0,0,1,1,1,0
320,20,15,GENDER,4.813,0,0,1,1,1,0
321,20,14,AGE+GENDER,5.37,0,0,1,1,1,0
322,20,4,AGE+GENDER,3.035,1,0,1,1,1,0
323,20,2,AGE+GENDER,5.076,1,0,1,1,1,0
324,20,7,AGE+GENDER,4.446,0,0,1,1,1,0
325,20,9,AGE+GENDER,3.914,0,0,1,1,1,0
326,20,10,GENDER,7.055,0,0,1,1,1,0
327,20,13,AGE+GENDER,4.892,0,0,1,1,1,0
328,20,12,AGE+GENDER,3.907,1,0,1,1,1,0
329,21,4,AGE+GENDER,3.546,0,0,0,1,1,0
330,21,9,AGE+GENDER,3.674,1,0,0,1,1,0
331,21,12,AGE+GENDER,3.723,1,0,0,1,1,0
332,21,7,AGE+GENDER,1.13,0,0,0,1,1,0
333,21,10,GENDER,6.073,1,0,0,1,1,0
334,21,9,AGE+GENDER,1.945,1,0,0,1,1,0
335,21,1,GENDER,4.59,1,0,0,1,1,0
336,21,15,GENDER,5.065,1,0,0,1,1,0
337,21,2,AGE+GENDER,0.961,1,0,0,1,1,0
338,22,9,AGE+GENDER,3.229,1,0,1,0,0,1
339,22,13,AGE+GENDER,6.65,0,0,1,0,0,1
340,22,15,GENDER,3.832,1,0,1,0,0,1
341,22,1,GENDER,3.457,0,0,1,0,0,1
342,22,7,AGE+GENDER,4.927,0,0,1,0,0,1
343,22,4,AGE+GENDER,1.539,0,0,1,0,0,1
344,22,2,AGE+GENDER,4.864,1,0,1,0,0,1
345,22,13,AGE+GENDER,5.04,0,0,1,0,0,1
346,22,7,AGE+GENDER,0.796,0,0,1,0,0,1
347,22,12,AGE+GENDER,0.522,1,0,1,0,0,1
348,22,14,AGE+GENDER,5.57,0,0,1,0,0,1
349,23,13,AGE+GENDER,4.241,0,0,1,0,0,1
350,23,7,AGE+GENDER,2.662,0,0,1,0,0,1
351,23,12,AGE+GENDER,0.939,1,0,1,0,0,1
352,23,14,AGE+GENDER,3.403,0,0,1,0,0,1
353,23,7,AGE+GENDER,1.497,0,0,1,0,0,1
354,23,12,AGE+GENDER,1.99,1,0,1,0,0,1
355,24,12,AGE+GENDER,3.222,1,0,1,1,1,0
356,24,2,AGE+GENDER,0.966,1,0,1,1,1,0
357,24,14,AGE+GENDER,3.27,0,0,1,1,1,0
358,24,15,GENDER,3.833,1,0,1,1,1,0
359,24,1,GENDER,1.923,1,0,1,1,1,0
360,24,13,AGE+GENDER,2.991,0,0,1,1,1,0
361,24,9,AGE+GENDER,0.564,1,0,1,1,1,0
362,24,1,GENDER,1.869,1,0,1,1,1,0
363,24,7,AGE+GENDER,1.897,0,0,1,1,1,0
364,24,2,AGE+GENDER,1.712,1,0,1,1,1,0
365,25,9,AGE+GENDER,4.095,1,0,1,0,0,0
366,25,2,AGE+GENDER,4.114,1,0,1,0,0,0
367,25,10,GENDER,6.607,1,0,1,0,0,0
368,25,13,AGE+GENDER,4.408,0,0,1,0,0,0
369,25,14,AGE+GENDER,5.136,0,0,1,0,0,0
370,25,12,AGE+GENDER,2.74,1,0,1,0,0,0
371,25,14,AGE+GENDER,5.019,0,0,1,0,0,0
372,25,12,AGE+GENDER,2.39,1,0,1,0,0,0
373,25,9,AGE+GENDER,3.798,1,0,1,0,0,0
374,25,4,AGE+GENDER,2.42,1,0,1,0,0,0
375,26,12,AGE+GENDER,2.457,0,0,1,1,1,1
376,26,15,GENDER,4.53,0,0,1,1,1,1
377,26,7,AGE+GENDER,2.98,1,0,1,1,1,1
378,26,13,AGE+GENDER,6.008,1,0,1,1,1,1
379,26,4,AGE+GENDER,1.539,0,0,1,1,1,1
380,26,13,AGE+GENDER,3.124,1,0,1,1,1,1
381,26,2,AGE+GENDER,2.41,0,0,1,1,1,1
382,26,9,AGE+GENDER,1.864,1,0,1,1,1,1
383,26,12,AGE+GENDER,2.189,0,0,1,1,1,1
384,26,1,GENDER,1.903,1,0,1,1,1,1
385,26,7,AGE+GENDER,2.247,1,0,1,1,1,1
386,26,10,GENDER,3.005,1,0,1,1,1,1
387,26,14,AGE+GENDER,2.903,0,0,1,1,1,1
388,26,4,AGE+GENDER,1.286,0,0,1,1,1,1
389,27,13,AGE+GENDER,5.218,0,0,1,0,0,0
390,27,12,AGE+GENDER,1.556,1,0,1,0,0,0
391,27,15,GENDER,3.282,1,0,1,0,0,0
392,27,10,GENDER,4.491,1,0,1,0,0,0
393,27,7,AGE+GENDER,1.58,0,0,1,0,0,0
394,27,2,AGE+GENDER,0.365,1,0,1,0,0,0
395,27,1,GENDER,1.556,1,0,1,0,0,0
396,27,4,AGE+GENDER,1.94,0,0,1,0,0,0
397,27,14,AGE+GENDER,4.269,0,0,1,0,0,0
398,27,7,AGE+GENDER,0.363,0,0,1,0,0,0
399,27,13,AGE+GENDER,1.724,0,0,1,0,0,0
400,27,1,GENDER,3.102,1,0,1,0,0,0
401,27,4,AGE+GENDER,1.556,0,0,1,0,0,0
402,27,2,AGE+GENDER,2.545,1,0,1,0,0,0
403,27,10,GENDER,3.872,1,0,1,0,0,0
404,27,9,AGE+GENDER,2.147,1,0,1,0,0,0
405,27,15,GENDER,3.249,1,0,1,0,0,0
406,27,12,AGE+GENDER,0.489,1,0,1,0,0,0
407,27,14,AGE+GENDER,2.587,0,0,1,0,0,0
408,28,4,AGE+GENDER,0.557,1,0,1,1,1,1
409,28,12,AGE+GENDER,0.949,0,0,1,1,1,1
410,28,2,AGE+GENDER,4.665,1,0,1,1,1,1
411,28,13,AGE+GENDER,1.225,0,0,1,1,1,1
412,28,14,AGE+GENDER,1.304,0,0,1,1,1,1
413,28,1,GENDER,3.407,0,0,1,1,1,1
414,28,9,AGE+GENDER,1.882,0,0,1,1,1,1
415,28,14,AGE+GENDER,3.052,0,0,1,1,1,1
416,28,2,AGE+GENDER,2.526,1,0,1,1,1,1
417,28,9,AGE+GENDER,0.748,0,0,1,1,1,1
418,28,4,AGE+GENDER,1.885,1,0,1,1,1,1
419,28,12,AGE+GENDER,0.222,0,0,1,1,1,1
420,28,10,GENDER,3.273,0,0,1,1,1,1
421,29,12,AGE+GENDER,2.807,0,0,1,0,0,0
422,29,9,AGE+GENDER,1.831,1,0,1,0,0,0
423,29,2,AGE+GENDER,4.765,0,0,1,0,0,0
424,29,14,AGE+GENDER,4.119,0,0,1,0,0,0
425,29,15,GENDER,1.565,1,0,1,0,0,0
426,29,7,AGE+GENDER,3.696,1,0,1,0,0,0
427,29,10,GENDER,5.039,1,0,1,0,0,0
428,29,4,AGE+GENDER,2.073,0,0,1,0,0,0
429,29,15,GENDER,2.496,1,0,1,0,0,0
430,29,14,AGE+GENDER,4.369,0,0,1,0,0,0
431,29,10,GENDER,4.372,1,0,1,0,0,0
432,29,2,AGE+GENDER,2.244,0,0,1,0,0,0
433,29,4,AGE+GENDER,3.424,0,0,1,0,0,0
434,29,9,AGE+GENDER,1.598,1,0,1,0,0,0
435,29,12,AGE+GENDER,3.757,1,0,1,0,0,0
436,30,10,GENDER,6.403,1,0,0,1,1,0
437,30,2,AGE+GENDER,4.964,0,0,0,1,1,0
438,30,7,AGE+GENDER,3.18,0,0,0,1,1,0
439,30,15,GENDER,3.632,1,0,0,1,1,0
440,30,9,AGE+GENDER,3.132,1,0,0,1,1,0
441,30,1,GENDER,2.057,0,0,0,1,1,0
442,30,14,AGE+GENDER,4.154,0,0,0,1,1,0
443,30,4,AGE+GENDER,1.924,1,0,0,1,1,0
444,30,12,AGE+GENDER,2.39,1,0,0,1,1,0
445,30,13,AGE+GENDER,4.908,0,0,0,1,1,0
446,30,7,AGE+GENDER,2.03,1,0,0,1,1,0
447,30,15,GENDER,2.516,0,0,0,1,1,0
448,30,12,AGE+GENDER,1.14,0,0,0,1,1,0
449,30,1,GENDER,1.822,0,0,0,1,1,0
450,30,14,AGE+GENDER,2.536,0,0,0,1,1,0
451,30,9,AGE+GENDER,0.865,1,0,0,1,1,0
452,30,13,AGE+GENDER,1.558,1,0,0,1,1,0
453,30,4,AGE+GENDER,1.403,1,0,0,1,1,0
454,30,2,AGE+GENDER,1.48,1,0,0,1,1,0
455,30,10,GENDER,2.19,0,0,0,1,1,0
456,31,4,AGE+GENDER,2.352,1,1,0,1,1,1
457,31,7,AGE+GENDER,2.663,0,1,0,1,1,1
458,31,9,AGE+GENDER,4.381,1,1,0,1,1,1
459,31,12,AGE+GENDER,2.222,1,1,0,1,1,1
460,31,1,GENDER,3.94,0,1,0,1,1,1
461,31,2,AGE+GENDER,2.598,1,1,0,1,1,1
462,31,10,GENDER,2.79,1,1,0,1,1,1
463,31,13,AGE+GENDER,5.791,0,1,0,1,1,1
464,31,15,GENDER,3.998,1,1,0,1,1,1
465,31,14,AGE+GENDER,3.448,0,1,0,1,1,1
466,31,14,AGE+GENDER,4.182,0,1,0,1,1,1
